"","real.all_comments.textOriginal"
"907","You are a good lord aren’t you? You have your kingdom everyone serves your will people are compassionate for you but a weed grows in your kingdom being a lord only your eyes will see an evil wickedness sprout out of your own kingdom some of your servants you will see them become like the walking dead how can we find who is Waldo? Let me tell you about my kingdom and lordship over my people I’ve been kind I’ve been compassionate giving to others building others up according to their needs through the practice of the word of god I have brought blessings to my people. Still the great deceiver has attacked even me coming into my kingdom turning one of my dear friends to a path of destruction and wickedness see with your eyes some of your people become overpowered with nationality they have idolized a nation a flag the idea of killing neighbors has enticed them their feet would be rather swift to shed blood. Yes I’ve watched these idolaters come and go one of my friends says that he only wanted to join the armed forces to kill and slaughter his neighbors of another nation my ears had been disgusted since then he was sexually immoral taking a maiden in my kingdom spreading to her the herpes virus. a lower individual of my kingdom glorified the armed forces I was displeased with his devotion to chaos and death then one day he went in front of the class bearing American pride he spoke proudly of shooting his dogs with B.B. guns. I was not the first to rebuke him my maidens were put into a panic asking him “why would you say these things you are disgusting” I then told him acts like these were shameful the teacher in the class room had no words for him so I used my own words and he was sent to a corner in shame. in the American high school it easy easy to find Waldo. Someone who represents a cloth image one who has begun to wear camouflage among the youth spreading stories of how they will be a hero in the armed forces cigarettes death metal music sexual immorality and the slander of others be watchful of these people in your kingdom they might throw a stone at a neighboring land out of self righteousness and pride they need to be greatly rebuked"
"908","gosh USA is such a scary place"
"909","😂😂😂😂😂🤣🤣🤣🤣🤣👏👏👏👏👏👏👌👌👌👌👌👌👍👍👍👍👍👍👍"
"910","My children that are in high school and even my grandbabies in elementary school are terrified.i just can't understand why these children are doing these horrible crimes.lord please heal the mentally sick kids.and protect our children from bullies and the demons in this world."
"911","sometimes the fake news.. can tell you all you need to know"
"912","If this kid shoots at one school, that makes other people think it’s actually okay to do this so I don’t know what people are thinking these days"
"913","People from CNN might be the most ignorant when it comes to talking about guns. This is why there are so many uninformed people."
"914","It makes NO sense that you have to be 18 to own an assult rifle but you have to be 21 to own a handgun BOTH SHOULD BE 21"
"915","There was no real school shooting folks. Wake up. My GOD.lol"
"916","CNN y’all are actually stupid."
"917","Strange laws. Only in the US"
"918","This is why I love Canada to many angry Americans."
"919","CNN and people are lame. I post photos of hunting, holding a new  firearm, shooting with friends, and you guys suggest EVERYONE who does that should be reported. LOL
So you want a Nazi society, it seems. No worries, us true Americans already know what you want. Do you realize to 99% of Americans, Firearms are simply a part of our culture. Always have been, always should be. Also, 99.9% of those Americans would NEVER do these things. They dont harm innocent people and never would. Criminals always will, however, and youre really trying to help them out and punish law abiding Americans because of a very, very FEW monsters."
"920","posts from 2 years ago about a shotgun he would like to buy and talks about hunting with it, a custom handle knife that he has, a funny meme, and an air soft pistol, Nothing here would throw up a red flag. You are really grasping for straws here."
"921","17 lives could have been saved if somebody spoke up😪"
"922","Umm again an AR is not an assault weapon or assault rifle. ... learn these things in which you speak of .. Certainly Not News..
Oh lol. If you look at the pic of the hang Gun he's holding. It has an orange tip.  A real one doesn't"
"923","I work for a living and have a decent job and still cant afford a AR 15.......I wonder how a little punk got the money for such an expensive gun"
"924","The black dude is retarded handguns are more deadly than rifles!"
"925","A AR 15 is a assault rifle but I could bring a shot gun to school so the same thing it’s not a assault rifle though so what’s are they talking about"
"926","One of the guns he’s holding in the pictures is a toy gun a Airsoft gun"
"927","Sooo sad"
"928","@ CNN - Emma Gonzales admitting she and her friends ostracized Cruz for years.  You jackasses talk shit about Trump being a bully just lying your sorry asses off. But here we have an actual case of bullying leading to a tragedy and where is CNN on the issue? Silent. CNN, you people suck. Absolutely the biggest fake news organization in the world. We're going to get your broadcasting license yanked, worthless shitheads.

 https://www.youtube.com/watch?v=gJVSOvGTVIo"
"929","I'm sorry for all parents that have lost there children in the shooting...R.I.P"
"930","How would he get the gun in the school"
"931","Why hasn’t cnn discussed the reason this kid fell through the crack and CPS the school councilor no one noticed that this kid was not right in the head all the calls to police stating there’s something wrong with him no one is talking about this write how the system let this kid down this is a joke it’s always the guns fault it’s funny how cnn has pulled together such a elaborate way of attacking gun rights so quickly and now mr Hogg who’s father is FBI is all over the news how convenient oh let’s not forget about his rights being violated by having to use clear backpack at school I. Vegas all casino employees have them all airport employees have them it’s ok for my gun rights to be violated though this whole thing stinks of setup we’re is his computer I wanna see if someone was communicating with this kid convincing him to commit this shooting using him as a pawn"
"932","Lemon head is such a drama queen."
"933","This is not journalism.  Why not just the facts?"
"934","David Hogg is a fucking phony liar 🤥 piece of shit 💩 Douche bag 💼"
"935","21 year old to buy handguns. 




Can i buy a RPG?"
"936","🤤"
"937","21 for pistols cause they're concealable rifles arent it's not dumb"
"938","150 children died by american nato attacks two days ago  no news yet"
"939","Half people on here made fun of sandy hook now their sad really im still sad doe i still sad about parkland"
"940","Goddamn sociopath with no impulse control..."
"941","I don't understand why do they have to kill people"
"942","I fuckin hate cnn these niggas dont know that you can carry a fucking gun in your pocket why would you give that power to a 18 year old its the size of the gun thats why you have to 21"
"943","omg they arent assault rifles"
"944","it doesnt make sence that hand guns are at 21 because they are concelible and he acts so supprized but hand guns are used in more shooting then rifles"
"945","You dumb fags have anything to say about the YouTube shooter in Cali ??? Prob not cnn fucking sucks balls"
